#	PUNC
:	PUNC
)	PUNC
هفتگی	AJ
،	PUNC
الجزیره	N
(	PUNC
.	PUNC
؛	PUNC
تاثیرگذارتر	AJ
سی‌ان‌ان	N
خلیج‌فارس	N
تاحدی	ADV
سوالها	N
غسان‌بن‌جدو	N
سوالهای	N
تحت	P
؟	PUNC
*	PUNC
انتفاضه	N
نه‌تنها	CONJ
اسراییل	N
کلینتون	N
دربیاورد	V
حالا	ADV
امریکاییها	N
خوشحال	AJ
بن‌لادن	N
کالین	N
کاندولیزا	N
رایس	N
جرج	N
رسانه‌ای‌اش	AJ
تخطی	N
بلر	N
...	PUNC
حرفه‌ای‌ترین	AJ
هات‌برد	N
دکودر	N
رک	RES
طبیعتا	ADV
سوال	N
سوالی	N
بی‌بی‌سی	N
الان	ADV
درصد	N
فالکلند	N
مارگارت	N
تاچر	N
شخصا	ADV
کنترل‌کننده‌ی	AJ
بنظر	P
آنقدر	ADV
اخیرا"	ADV
چراکه	CONJ
بی	P
درثانی	ADV
غیرطبیعی	AJ
غیرمتعارف	AJ
الجزیره‌ایها	N
دوم‌خردادی‌ها	N
تیسیر	N
علونی	N
»	PUNC
«	PUNC
امیرالمومنین	N
قادیانیها	N
یدک	N
هارقص	N
نمایندگی	N
الجزایر	N
احمدشاه	N
39ساله	AJ
الحیات	N
موسسه	N
حروفچینی	N
انجام‌گرفته	AJ
نارسائیهای	N
نظامدار	AJ
نجنبیم	V
سئوالات	N
بیشماری	AJ
یک‌کتابی	AJ
بااین‌که	CONJ
قابل‌توجهی	AJ
جوابگوی	N
-	PUNC
فیه	RES
میرا	AJ
بازمی‌تاباند	V
کتابخوانی	N
بعضا	ADV
درواقع	CONJ
موثر	AJ
میکند	V
بصورت	P
حکمفرمای	AJ
وابستگی	N
به‌طورکلی	ADV
بوسیله	P
غیرداستانی	AJ
غیردرسی	AJ
فرهنگنامه	N
بزرگسال	N
غیرکتابی	AJ
پژوهش‌مدار	AJ
پاسخ‌یابی	N
ذیربط	AJ
عمیقا	ADV
کم‌سوادی	N
دوباره‌آموزی	N
ازجمله	ADV
بالندگی	N
عقب‌ماندگی	N
یاددهنده	N
معلم‌محوری	N
دانش‌آموزمحوری	N
هرچندکه	CONJ
یکسویه	AJ
کسل‌کننده	AJ
درنتیجه	CONJ
آمادگی	N
غیرمستقیم	AJ
بخاطر	P
بزودی	ADV
راهنمایی‌های	N
ولو	CONJ
رغبت‌برانگیز	AJ
بروز	N
بتدریج	ADV
گه‌گاه	ADV
بزرگسالان	N
بویژه	ADV
گزارش‌نویسی	N
کتاب‌دار	N
نظام‌یافته‌ای	AJ
دانش‌پژوهانه	AJ
پاسخگویی	N
%	RES
غیرآموزشگاهی	AJ
هیأت‌امنای	N
فرهنگسراهای	N
حداکثر	ADV
